bloomberg_ticker,yahoo,data_provider,signals_ticker
TXU US,,eodhd,TXU.US
SCMR US,,eodhd,SCMR.US
LIFCOB SS,LIFCO-B.ST,eodhd,LIFCO-B.ST
ASF US,,eodhd,ASF.US
KLBN11 BZ,KLBN11.SA,eodhd,KLBN11.SA
FORT LN,FORT.L,eodhd,FORT.LSE
ALFA US,,eodhd,ALFA.US
IRWD US,IRWD,eodhd,IRWD.US
ULCC US,ULCC,eodhd,ULCC.US
YNHB MK,,eodhd,YNHB.KLSE
CFX US,,eodhd,CFX.US
AVNRL IT,,eodhd,AVNRL.TA
AMCX US,AMCX,eodhd,AMCX.US
7186 JP,7186.T,yahoo,7186.T
3311 TT,,eodhd,3311.TW
BNS IM,,eodhd,BNS.MI
HAPV3 BZ,HAPV3.SA,eodhd,HAPV3.SA
CB_old US,,eodhd,CB_old.US
ENTG US,ENTG,eodhd,ENTG.US
CWI AV,,eodhd,CWI.VI
AFCO US,,eodhd,AFCO.US
AKT LN,,eodhd,AKT.LSE
349 HK,,eodhd,0349.HK
CKN LN,CKN.L,eodhd,CKN.LSE
CSH US,,eodhd,CSH.US
AVID US,AVID,eodhd,AVID.US
ZUMZ US,ZUMZ,eodhd,ZUMZ.US
CEZ CP,CEZ.PR,yahoo,CEZ.PR
QLTY US,,eodhd,QLTY.US
BNR GR,BNR.DE,eodhd,BNR.XETRA
MTY CN,MTY.TO,eodhd,MTY.TO
4502 JP,4502.T,yahoo,4502.T
PRU LN,PRU.L,eodhd,PRU.LSE
RARE US,RARE,eodhd,RARE.US
1101 TT,1101.TW,eodhd,1101.TW
ENOP MK,,eodhd,ENOP.KLSE
AMFW LN,,eodhd,AMFW.LSE
GLK US,,eodhd,GLK.US
6363 JP,,yahoo,
PBPB US,,eodhd,PBPB.US
9601 JP,,yahoo,
GSY CN,GSY.TO,eodhd,GSY.TO
WALWIL NO,WAWI.OL,eodhd,WALWIL.OL
CVRS US,,eodhd,CVRS.US
FNBC US,,eodhd,FNBC.US
CYBS US,,eodhd,CYBS.US
BTOW3 BZ,,eodhd,BTOW3.SA
CPB US,CPB,eodhd,CPB.US
SXS LN,SXS.L,eodhd,SXS.LSE
TTW TB,,eodhd,TTW.BK
BACHOCOB US,,eodhd,BACHOCOB.US
SNAK US,,eodhd,SNAK.US
SPRO US,SPRO,eodhd,SPRO.US
IPL CN,,eodhd,IPL.TO
CARR IM,,eodhd,CARR.MI
ARCB US,ARCB,eodhd,ARCB.US
COFB BB,,eodhd,COFB.BR
CMIG3 BZ,,eodhd,CMIG3.SA
CNR CN,CNR.TO,eodhd,CNR.TO
TRP CN,TRP.TO,eodhd,TRP.TO
MSGN US,,eodhd,MSGN.US
PUB US,,eodhd,PUB.US
DRN GR,,eodhd,DRN.F
LAT1V FH,,eodhd,LAT1V.HE
3397 JP,3397.T,yahoo,3397.T
6395 JP,6395.T,yahoo,6395.T
GAN US,GAN,eodhd,GAN.US
SWBI US,SWBI,eodhd,SWBI.US
TCW CN,,eodhd,TCW.TO
WWIN US,,eodhd,WWIN.US
MIC CN,,eodhd,MIC.TO
2499 TT,,eodhd,2499.TW
CEVI SS,,eodhd,CEVI.ST
MNM MK,,eodhd,MNM.KLSE
JEL SW,,eodhd,JEL.SW
ABC US,ABC,eodhd,ABC.US
INVEB SS,INVE-B.ST,eodhd,INVE-B.ST
GIL CN,GIL.TO,eodhd,GIL.TO
OMAB MF,OMAB.MX,eodhd,OMAB.MX
AEGR US,,eodhd,AEGR.US
APH US,APH,eodhd,APH.US
THS US,THS,eodhd,THS.US
SILK US,SILK,eodhd,SILK.US
LAVV3 BZ,,eodhd,LAVV3.SA
TRAD SS,,eodhd,TRAD.ST
LYRA US,,eodhd,LYRA.US
MCY NZ,MCY.NZ,yahoo,MCY.NZ
PCP US,,eodhd,PCP.US
GPN US,GPN,eodhd,GPN.US
ORIG US,,eodhd,ORIG.US
4553 JP,4553.T,yahoo,4553.T
EMA LN,,eodhd,EMA.LSE
AKCA US,,eodhd,AKCA.US
NGD CN,NGD.TO,eodhd,NGD.TO
XNCR US,XNCR,eodhd,XNCR.US
4825 JP,,yahoo,
EIX US,EIX,eodhd,EIX.US
6 HK,0006.HK,eodhd,0006.HK
2779 JP,,yahoo,
KST SP,,eodhd,KST.SG
NFLX US,NFLX,eodhd,NFLX.US
6197 JP,6197.T,yahoo,6197.T
IPEKE TI,,eodhd,IPEKE.IS
GSOL US,,eodhd,GSOL.US
48 HK,,eodhd,0048.HK
066970 KS,066970.KQ,eodhd,066970.KQ
CBON US,,eodhd,CBON.US
2457 TT,,eodhd,2457.TW
CNSL US,CNSL,eodhd,CNSL.US
54 HK,,eodhd,0054.HK
3598 TT,,eodhd,3598.TWO
ODFL US,ODFL,eodhd,ODFL.US
IPMT US,,eodhd,IPMT.US
EDR US,,eodhd,EDR.US
INDY IJ,,eodhd,INDY.JK
EXCL IJ,EXCL.JK,eodhd,EXCL.JK
MAH AU,,eodhd,MAH.AU
HRS US,,eodhd,HRS.US
ARA* MF,,eodhd,ARA.MX
NBHC US,NBHC,eodhd,NBHC.US
2587 JP,2587.T,yahoo,2587.T
IVX US,,eodhd,IVX.US
281820 KS,,eodhd,281820.KO
9741 JP,,yahoo,
MN US,,eodhd,MN.US
SRP FP,,eodhd,SRP.PA
HCG CN,HCG.TO,eodhd,HCG.TO
2501 JP,2501.T,yahoo,2501.T
BPC AU,,eodhd,BPC.AU
XPO US,XPO,eodhd,XPO.US
BMOB3 BZ,,eodhd,BMOB3.SA
NRIX US,NRIX,eodhd,NRIX.US
VDOR NA,,eodhd,VDOR.AS
RHIM LN,,eodhd,RHIM.LSE
FXCM US,,eodhd,FXCM.US
048870 KS,,eodhd,048870.KQ
PNK US,,eodhd,PNK.US
CLAY US,,eodhd,CLAY.US
FCN US,FCN,eodhd,FCN.US
GCN IM,,eodhd,GCN.MI
RATOB SS,,eodhd,RATO-B.ST
PGN US,,eodhd,PGN.US
5310 JP,5310.T,yahoo,5310.T
MODL US,,eodhd,MODL.US
BIO3 GR,,eodhd,BIO3.XETRA
6235 JP,6235.T,yahoo,6235.T
HUM AU,,eodhd,HUM.AU
SKY US,SKY,eodhd,SKY.US
BPO CN,,eodhd,BPO.TO
CITP US,,eodhd,CITP.US
PDX SS,PDX.ST,eodhd,PDX.ST
AKER NO,AKER.OL,eodhd,AKER.OL
SKRRF US,,eodhd,SKRRF.US
8936 TT,,eodhd,8936.TWO
GRBK US,GRBK,eodhd,GRBK.US
NETL US,,eodhd,NETL.US
DEC FP,DEC.PA,eodhd,DEC.PA
MBWS FP,,eodhd,MBWS.PA
NCC US,,eodhd,NCC.US
TRIG LN,,eodhd,TRIG.LSE
CARA US,CARA,eodhd,CARA.US
ATRX US,,eodhd,ATRX.US
CLX US,CLX,eodhd,CLX.US
OPEN US,OPEN,eodhd,OPEN.US
JUN3 GR,JUN3.F,eodhd,JUN3.XETRA
NWBI US,NWBI,eodhd,NWBI.US
PRCH US,PRCH,eodhd,PRCH.US
IP IM,IP.MI,eodhd,IP.MI
8083 HK,8083.HK,eodhd,8083.HK
MMB FP,MMB.PA,eodhd,MMB.PA
HIQ SS,,eodhd,HIQ.ST
OSIS US,OSIS,eodhd,OSIS.US
8016 TT,,eodhd,8016.TW
AREX US,,eodhd,AREX.US
030200 KS,,eodhd,030200.KQ
MEK US,,eodhd,MEK.US
AAVL US,,eodhd,AAVL.US
MRNA US,MRNA,eodhd,MRNA.US
TEC SM,,eodhd,TEC.MC
LH US,LH,eodhd,LH.US
VRAD US,,eodhd,VRAD.US
BRBY LN,BRBY.L,eodhd,BRBY.LSE
BLDP CN,BLDP.TO,eodhd,BLDP.TO
SHN/U CN,,eodhd,SHN/U.TO
GPI US,GPI,eodhd,GPI.US
CAP GR,,eodhd,CAP.XETRA
PSG SJ,,eodhd,PSG.JSE
2475 TT,,eodhd,2475.TW
GMF AU,,eodhd,GMF.AU
MSCI US,MSCI,eodhd,MSCI.US
FFIV US,FFIV,eodhd,FFIV.US
ECOL US,ECOL,eodhd,ECOL.US
8424 JP,8424.T,yahoo,8424.T
GPS US,GPS,eodhd,GPS.US
IBR SM,,eodhd,IBR.MC
EOAN GR,EOAN.DE,eodhd,EOAN.XETRA
BRKR US,BRKR,eodhd,BRKR.US
DDOG US,DDOG,eodhd,DDOG.US
AYR US,,eodhd,AYR.US
9735 JP,9735.T,yahoo,9735.T
IRF US,,eodhd,IRF.US
ICL AU,,eodhd,ICL.AU
1590 TT,1590.TW,eodhd,1590.TW
KBAL US,KBAL,eodhd,KBAL.US
3714 TT,,eodhd,3714.TW
VOLARA MF,VOLARA.MX,eodhd,VOLARA.MX
TDC MK,,eodhd,TDC.KLSE
8178 JP,,yahoo,
EGLT US,,eodhd,EGLT.US
TRCO US,,eodhd,TRCO.US
ADRO US,,eodhd,ADRO.US
RIN FP,,eodhd,RIN.PA
WMB US,WMB,eodhd,WMB.US
HDF AU,,eodhd,HDF.AU
FGL CN,,eodhd,FGL.TO
TTGT US,TTGT,eodhd,TTGT.US
SIGA US,,eodhd,SIGA.US
ONCO SS,,eodhd,ONCO.ST
T MK,4863.KL,eodhd,4863.KLSE
FIE GR,FIE.DE,eodhd,FIE.XETRA
SWHC US,,eodhd,SWHC.US
APEI US,APEI,eodhd,APEI.US
UPWK US,UPWK,eodhd,UPWK.US
035810 KS,,eodhd,035810.KQ
IPCR US,,eodhd,IPCR.US
CKPT US,,eodhd,CKPT.US
MDAS US,,eodhd,MDAS.US
PLMD US,,eodhd,PLMD.US
ASX AU,ASX.AX,eodhd,ASX.AU
DVMT US,,eodhd,DVMT.US
SKYD GR,,eodhd,SKYD.STU
BBN SW,,eodhd,BBN.SW
ESTC US,ESTC,eodhd,ESTC.US
DENN US,DENN,eodhd,DENN.US
MCW US,MCW,eodhd,MCW.US
HLCL LN,,eodhd,HLCL.LSE
MPARK TI,MPARK.IS,eodhd,MPARK.IS
KCP US,,eodhd,KCP.US
APV US,,eodhd,APV.US
CWT SP,,eodhd,CWT.SG
237690 KS,237690.KQ,eodhd,237690.KQ
009580 KS,,eodhd,009580.KQ
SVW AU,SVW.AX,eodhd,SVW.AU
AUA AV,,eodhd,AUA.VI
KGH1V FH,,eodhd,KGH1V.HE
LPNT US,,eodhd,LPNT.US
CHH US,CHH,eodhd,CHH.US
TLM CN,,eodhd,TLM.TO
CADX US,,eodhd,CADX.US
BKBR3 BZ,BKBR3.SA,eodhd,BKBR3.SA
APPB US,,eodhd,APPB.US
6703 JP,6703.T,yahoo,6703.T
BAVA DC,BAVA.CO,eodhd,BAVA.CO
RBBN US,RBBN,eodhd,RBBN.US
GTN US,GTN,eodhd,GTN.US
RETA US,RETA,eodhd,RETA.US
PRDO US,,eodhd,PRDO.US
ASSA IJ,,eodhd,ASSA.JK
ALIM US,,eodhd,ALIM.US
200130 KS,200130.KQ,eodhd,200130.KQ
TCM CN,,eodhd,TCM.TO
VIAB US,,eodhd,VIAB.US
TAB AU,,eodhd,TAB.AU
CHS US,CHS,eodhd,CHS.US
NUS US,NUS,eodhd,NUS.US
HUSA US,,eodhd,HUSA.US
ENN LN,,eodhd,ENN.LSE
TXCO US,,eodhd,TXCO.US
CASA US,CASA,eodhd,CASA.US
ISIL US,,eodhd,ISIL.US
QSFT US,,eodhd,QSFT.US
5903 TT,,eodhd,5903.TWO
ENH US,,eodhd,ENH.US
6406 JP,,yahoo,
UFPI US,UFPI,eodhd,UFPI.US
3395 JP,,yahoo,
DIBS US,DIBS,eodhd,DIBS.US
STLA IM,STLA.MI,eodhd,STLA.MI
ACA US,ACA,eodhd,ACA.US
VIAV US,VIAV,eodhd,VIAV.US
BLUE US,BLUE,eodhd,BLUE.US
1045 HK,,eodhd,1045.HK
480 HK,,eodhd,0480.HK
AAOI US,,eodhd,AAOI.US
BWE NO,BWE.OL,eodhd,BWE.OL
LGL AU,,eodhd,LGL.AU
YNAP IM,,eodhd,YNAP.MI
NSU CN,,eodhd,NSU.TO
VR US,,eodhd,VR.US
RKUS US,,eodhd,RKUS.US
N03 SP,,eodhd,N03.SG
3376 TT,3376.TW,eodhd,3376.TW
9861 JP,,yahoo,
DLEA IT,,eodhd,DLEA.TA
078520 KS,,eodhd,078520.KQ
2723 TT,2723.TW,eodhd,2723.TW
ABG/P SM,,eodhd,ABG-P.MC
JFC PM,,eodhd,JFC.PSE
GNCA US,,eodhd,GNCA.US
FNH MK,,eodhd,FNH.KLSE
3445 JP,,yahoo,
5105 JP,5105.T,yahoo,5105.T
4105 TT,4105.TWO,eodhd,4105.TWO
BBCA IJ,BBCA.JK,eodhd,BBCA.JK
8058 JP,8058.T,yahoo,8058.T
COH AU,COH.AX,eodhd,COH.AU
RIOT US,RIOT,eodhd,RIOT.US
TTI US,TTI,eodhd,TTI.US
4768 JP,4768.T,yahoo,4768.T
UMBF US,UMBF,eodhd,UMBF.US
CKR US,,eodhd,CKR.US
AAC US,,eodhd,AAC.US
UPLMQ US,,eodhd,UPLMQ.US
9716 JP,9716.T,yahoo,9716.T
263720 KS,,eodhd,263720.KQ
BMRC US,BMRC,eodhd,BMRC.US
2454 TT,2454.TW,eodhd,2454.TW
838 HK,,eodhd,0838.HK
SCORE NO,,eodhd,SCORE.OL
HON US,HON,eodhd,HON.US
CTRA US,CTRA,eodhd,CTRA.US
ISBC US,,eodhd,ISBC.US
LB CN,LB.TO,eodhd,LB.TO
MRVC US,,eodhd,MRVC.US
NUF AU,NUF.AX,eodhd,NUF.AU
PGX/U CN,,eodhd,PGX/U.TO
057030 KS,,eodhd,057030.KQ
5017 JP,5017.T,yahoo,5017.T
NVAX US,NVAX,eodhd,NVAX.US
3105 TT,3105.TWO,eodhd,3105.TWO
ESNT US,ESNT,eodhd,ESNT.US
MIME US,MIME,eodhd,MIME.US
HUBG US,HUBG,eodhd,HUBG.US
NKTX US,NKTX,eodhd,NKTX.US
CHSI US,,eodhd,CHSI.US
A053800 KS,,eodhd,053800.KQ
VOG US,,eodhd,VOG.US
241710 KS,241710.KQ,eodhd,241710.KQ
ANOT SS,,eodhd,ANOT.ST
CTT PL,CTT.LS,eodhd,CTT.LS
VNUS US,,eodhd,VNUS.US
4813 JP,,yahoo,
GDT US,,eodhd,GDT.US
TRU SJ,TRU.JO,eodhd,TRU.JSE
HLSS US,,eodhd,HLSS.US
577 HK,,eodhd,0577.HK
MDP US,,eodhd,MDP.US
IYP GR,,eodhd,IYP.F
BPI IM,,eodhd,BPI.MI
CELL US,,eodhd,CELL.US
MTR AU,,eodhd,MTR.AU
4480 JP,4480.T,yahoo,4480.T
SHOP CN,SHOP.TO,eodhd,SHOP.TO
DOM PW,,eodhd,DOM.WAR
ATER US,,eodhd,ATER.US
BIMB MK,5258.KL,eodhd,5258.KLSE
ALHE IT,,eodhd,ALHE.TA
LEN/B US,,eodhd,LEN-B.US
LSG NO,LSG.OL,eodhd,LSG.OL
KNT CN,KNT.TO,eodhd,KNT.TO
SINT US,,eodhd,SINT.US
ITN LN,,eodhd,ITN.LSE
PG IM,,eodhd,PG.MI
9107 JP,9107.T,yahoo,9107.T
6147 TT,6147.TWO,eodhd,6147.TWO
ARVN US,ARVN,eodhd,ARVN.US
ALMB DC,ALMB.CO,eodhd,ALMB.CO
2670 JP,2670.T,yahoo,2670.T
BDSX US,,eodhd,BDSX.US
AHY AU,,eodhd,AHY.AU
BEI/U CN,,eodhd,BEI/U.TO
WBD US,,eodhd,WBD.US
UHRN SW,,eodhd,UHRN.SW
PPGN SW,PPGN.SW,eodhd,PPGN.SW
9646 JP,,yahoo,
PP US,,eodhd,PP.US
LTS PW,,eodhd,LTS.WAR
6213 TT,6213.TW,eodhd,6213.TW
EQ US,,eodhd,EQ.US
7312 JP,,yahoo,
BRKT US,,eodhd,BRKT.US
6443 TT,6443.TW,eodhd,6443.TW
ANE SM,ANE.MC,eodhd,ANE.MC
293490 KS,293490.KQ,eodhd,293490.KQ
RNA US,RNA,eodhd,RNA.US
SCS US,SCS,eodhd,SCS.US
009720 KS,,eodhd,009720.KQ
BGO CN,,eodhd,BGO.TO
PPL CN,PPL.TO,eodhd,PPL.TO
ASR SJ,,eodhd,ASR.JSE
IGY GR,,eodhd,IGY.XETRA
RALY US,,eodhd,RALY.US
TEAR US,,eodhd,TEAR.US
ORBC US,,eodhd,ORBC.US
JBSS US,,eodhd,JBSS.US
IMG LN,,eodhd,IMG.LSE
BMAX SS,,eodhd,BMAX.ST
OVS IM,OVS.MI,eodhd,OVS.MI
9692 JP,,yahoo,
HPOL US,,eodhd,HPOL.US
ADVM US,ADVM,eodhd,ADVM.US
BFLY US,,eodhd,BFLY.US
BSX US,BSX,eodhd,BSX.US
CCE US,,eodhd,CCE.US
DIN SM,,eodhd,DIN.MC
8924 TT,,eodhd,8924.TWO
HMA US,,eodhd,HMA.US
038500 KS,,eodhd,038500.KQ
TRMB US,TRMB,eodhd,TRMB.US
PBOB MK,,eodhd,PBOB.KLSE
CKCM US,,eodhd,CKCM.US
SIB US,,eodhd,SIB.US
SIFG NA,,eodhd,SIFG.AS
LOCO US,LOCO,eodhd,LOCO.US
NCCB SS,NCC-B.ST,eodhd,NCC-B.ST
LMND US,,eodhd,LMND.US
QHC US,,eodhd,QHC.US
WETF US,WETF,eodhd,WETF.US
BOOZT SS,BOOZT.ST,eodhd,BOOZT.ST
5301 JP,5301.T,yahoo,5301.T
MM US,,eodhd,MM.US
6764 JP,,yahoo,
2602 JP,2602.T,yahoo,2602.T
CLI LN,,eodhd,CLI.LSE
6247 JP,,yahoo,
ORCL US,ORCL,eodhd,ORCL.US
PGAS IJ,PGAS.JK,eodhd,PGAS.JK
BGC US,,eodhd,BGC.US
HT1 AU,,eodhd,HT1.AU
7459 JP,7459.T,yahoo,7459.T
MERQE US,,eodhd,MERQE.US
ARPN SW,,eodhd,ARPN.SW
RUBI US,,eodhd,RUBI.US
3222 JP,,yahoo,
PJC/A CN,,eodhd,PJC-A.TO
BUMI IJ,,eodhd,BUMI.JK
BDK US,,eodhd,BDK.US
G CN,,eodhd,G.TO
7267 JP,7267.T,yahoo,7267.T
AXP CN,,eodhd,AXP.TO
FOSL US,,eodhd,FOSL.US
A033240 KS,,eodhd,033240.KQ
TOPS LN,,eodhd,TOPS.LSE
RTK US,,eodhd,RTK.US
6544 JP,6544.T,yahoo,6544.T
MOD US,MOD,eodhd,MOD.US
DSCP US,,eodhd,DSCP.US
001630 KS,,eodhd,001630.KQ
DASA3 BZ,,eodhd,DASA3.SA
ICLL AV,,eodhd,ICLL.VI
SESL FP,SESL.PA,eodhd,SESL.PA
8957 JP,,yahoo,
9435 JP,9435.T,yahoo,9435.T
FM CN,FM.TO,eodhd,FM.TO
DMP GR,DMP.F,eodhd,DMP.XETRA
LMC LN,,eodhd,LMC.LSE
NPN SJ,NPN.JO,eodhd,NPN.JSE
AUP CN,,eodhd,AUP.TO
FGEN US,FGEN,eodhd,FGEN.US
CRA US,,eodhd,CRA.US
TKG SJ,TKG.JO,eodhd,TKG.JSE
AKBNK TI,AKBNK.IS,eodhd,AKBNK.IS
MVNR US,,eodhd,MVNR.US
3638 TT,,eodhd,3638.TWO
ABBN SW,ABBN.SW,eodhd,ABBN.SW
ASPT US,,eodhd,ASPT.US
WOW US,WOW,eodhd,WOW.US
JST AU,,eodhd,JST.AU
OXUR BB,,eodhd,OXUR.BR
1199 HK,,eodhd,1199.HK
061970 KS,061970.KQ,eodhd,061970.KQ
ACS SM,ACS.MC,eodhd,ACS.MC
KDMN US,,eodhd,KDMN.US
AEM SP,AWX.SI,eodhd,AWX.SG
AGA CN,,eodhd,AGA.TO
XLRN US,,eodhd,XLRN.US
MVF AU,,eodhd,MVF.AU
PYM LN,,eodhd,PYM.LSE
EYET US,,eodhd,EYET.US
MDRIQ US,,eodhd,MDRIQ.US
IFM CN,,eodhd,IFM.TO
806 HK,,eodhd,0806.HK
BIN AU,,eodhd,BIN.AU
8035 JP,8035.T,yahoo,8035.T
ACP PW,,eodhd,ACP.WAR
FERG LN,FERG.L,eodhd,FERG.LSE
HAYN US,,eodhd,HAYN.US
TGIC US,,eodhd,TGIC.US
LKSD US,,eodhd,LKSD.US
ARC US,,eodhd,ARC.US
STFC US,,eodhd,STFC.US
ZV IM,ZV.MI,eodhd,ZV.MI
5012 JP,,yahoo,
CFI IM,,eodhd,CFI.MI
GARAN TI,GARAN.IS,eodhd,GARAN.IS
BRSWQ US,,eodhd,BRSWQ.US
PVA SM,,eodhd,PVA.MC
UNI IM,UNI.MI,eodhd,UNI.MI
AVGO US,AVGO,eodhd,AVGO.US
AACE US,,eodhd,AACE.US
GUY CN,,eodhd,GUY.TO
DHC US,,eodhd,DHC.US
HUGH US,,eodhd,HUGH.US
TRU US,TRU,eodhd,TRU.US
AVP US,,eodhd,AVP.US
9869 JP,,yahoo,
6981 JP,6981.T,yahoo,6981.T
O US,,eodhd,O.US
ABG SM,,eodhd,ABG.MC
TRID US,,eodhd,TRID.US
LESL US,LESL,eodhd,LESL.US
BFSA GR,BFSA.F,eodhd,BFSA.XETRA
W US,W,eodhd,W.US
TXT US,TXT,eodhd,TXT.US
TINS IJ,TINS.JK,eodhd,TINS.JK
DHR US,DHR,eodhd,DHR.US
CBAY US,,eodhd,CBAY.US
IPCC US,,eodhd,IPCC.US
DESSC NO,,eodhd,DESSC.OL
6336 JP,,yahoo,
2607 JP,2607.T,yahoo,2607.T
CSK US,,eodhd,CSK.US
WFT AU,,eodhd,WFT.AU
DRB MK,,eodhd,DRB.KLSE
VRSN US,VRSN,eodhd,VRSN.US
9945 JP,,yahoo,
CEI US,,eodhd,CEI.US
3231 TT,3231.TW,eodhd,3231.TW
LOG SM,LOG.MC,eodhd,LOG.MC
ULGX US,,eodhd,ULGX.US
182 HK,,eodhd,0182.HK
MNW CN,,eodhd,MNW.TO
PLUS MK,,eodhd,PLUS.KLSE
6849 JP,6849.T,yahoo,6849.T
2324 TT,2324.TW,eodhd,2324.TW
ELY US,ELY,eodhd,ELY.US
DOM LN,DOM.L,eodhd,DOM.LSE
THAI TB,,eodhd,THAI.BK
8795 JP,8795.T,yahoo,8795.T
GRUB US,,eodhd,GRUB.US
3063 TT,,eodhd,3063.TWO
AKAM US,AKAM,eodhd,AKAM.US
ROSE US,,eodhd,ROSE.US
STXB US,,eodhd,STXB.US
160550 KS,,eodhd,160550.KQ
024110 KS,024110.KS,eodhd,024110.KQ
SNOW US,SNOW,eodhd,SNOW.US
OSB LN,OSB.L,eodhd,OSB.LSE
SMRT US,,eodhd,SMRT.US
LB US,,eodhd,LB.US
HLTH US,,eodhd,HLTH.US
ESPD US,,eodhd,ESPD.US
BYI US,,eodhd,BYI.US
TIE US,,eodhd,TIE.US
SALT US,,eodhd,SALT.US
NERV US,,eodhd,NERV.US
DSON MK,,eodhd,DSON.KLSE
GETIB SS,GETI-B.ST,eodhd,GETI-B.ST
NHY NO,NHY.OL,eodhd,NHY.OL
QLT LN,QLT.L,eodhd,QLT.LSE
VITRO MK,0097.KL,eodhd,0097.KLSE
RMO US,RMO,eodhd,RMO.US
VYGR US,,eodhd,VYGR.US
IFCM3 BZ,IFCM3.SA,eodhd,IFCM3.SA
HCM LN,,eodhd,HCM.LSE
PSM GR,PSM.DE,eodhd,PSM.XETRA
USG US,,eodhd,USG.US
GDYN US,GDYN,eodhd,GDYN.US
TRUE US,TRUE,eodhd,TRUE.US
GSAT US,GSAT,eodhd,GSAT.US
HEMRAJ TB,,eodhd,HEMRAJ.BK
SFXE US,,eodhd,SFXE.US
BEN IM,,eodhd,BEN.MI
7259 JP,7259.T,yahoo,7259.T
LFIN US,,eodhd,LFIN.US
PKZ CN,,eodhd,PKZ.TO
5483 TT,5483.TWO,eodhd,5483.TWO
ODPV3 BZ,ODPV3.SA,eodhd,ODPV3.SA
000810 KS,000810.KS,eodhd,000810.KQ
SPSC US,SPSC,eodhd,SPSC.US
IBIO US,,eodhd,IBIO.US
JHC AU,,eodhd,JHC.AU
243 HK,,eodhd,0243.HK
ROKU US,ROKU,eodhd,ROKU.US
PDL AU,PDL.AX,eodhd,PDL.AU
EXP US,EXP,eodhd,EXP.US
ISSI US,,eodhd,ISSI.US
PRIO3 BZ,,eodhd,PRIO3.SA
LHCF SP,,eodhd,LHCF.SG
HBC CN,,eodhd,HBC.TO
ASII IJ,ASII.JK,eodhd,ASII.JK
KIDS US,KIDS,eodhd,KIDS.US
DAVA US,DAVA,eodhd,DAVA.US
SPOST SP,S08.SI,eodhd,S08.SG
HK US,,eodhd,HK.US
014790 KS,,eodhd,014790.KQ
CMA SP,,eodhd,CMA.SG
BEAV US,,eodhd,BEAV.US
LEU US,,eodhd,LEU.US
IPCS US,,eodhd,IPCS.US
AGG LN,,eodhd,AGG.LSE
GPK US,GPK,eodhd,GPK.US
NVA CN,NVA.TO,eodhd,NVA.TO
TUNE US,,eodhd,TUNE.US
KOR IT,,eodhd,KOR.TA
LVO US,,eodhd,LVO.US
IMP SJ,IMP.JO,eodhd,IMP.JSE
TCDA US,,eodhd,TCDA.US
NOW US,NOW,eodhd,NOW.US
WRD US,,eodhd,WRD.US
GE US,GE,eodhd,GE.US
WGC LN,,eodhd,WGC.LSE
NOL SP,,eodhd,NOL.SG
003220 KS,003220.KS,eodhd,003220.KQ
8136 JP,8136.T,yahoo,8136.T
NESTE FH,NESTE.HE,eodhd,NESTE.HE
SNDR US,SNDR,eodhd,SNDR.US
8377 JP,,yahoo,
RNST US,RNST,eodhd,RNST.US
SEN PW,,eodhd,SEN.WAR
ESND US,,eodhd,ESND.US
SLG US,,eodhd,SLG.US
GLUU US,,eodhd,GLUU.US
CDXS US,CDXS,eodhd,CDXS.US
BIGC US,BIGC,eodhd,BIGC.US
PZOL IT,,eodhd,PZOL.TA
5801 JP,5801.T,yahoo,5801.T
XAIR US,,eodhd,XAIR.US
061040 KS,,eodhd,061040.KQ
SQNM US,,eodhd,SQNM.US
UKC LN,,eodhd,UKC.LSE
CIEL3 BZ,CIEL3.SA,eodhd,CIEL3.SA
7740 JP,,yahoo,
PKT US,,eodhd,PKT.US
MILL US,,eodhd,MILL.US
2408 TT,2408.TW,eodhd,2408.TW
5907 TT,,eodhd,5907.TW
FLWS US,FLWS,eodhd,FLWS.US
BOBE US,,eodhd,BOBE.US
REVUS NO,,eodhd,REVUS.OL
PCTI US,,eodhd,PCTI.US
NB CN,,eodhd,NB.TO
CFN LN,,eodhd,CFN.LSE
EYPT US,EYPT,eodhd,EYPT.US
NTR CN,NTR.TO,eodhd,NTR.TO
BIGC TB,,eodhd,BIGC.BK
GIC US,GIC,eodhd,GIC.US
BODY US,,eodhd,BODY.US
QADA US,,eodhd,QADA.US
FRBA US,,eodhd,FRBA.US
OR FP,OR.PA,eodhd,OR.PA
PGC US,PGC,eodhd,PGC.US
NUM NA,,eodhd,NUM.AS
183190 KS,183190.KS,eodhd,183190.KO
DOCKW NO,,eodhd,DOCKW.OL
011210 KS,011210.KS,eodhd,011210.KQ
LMI LN,,eodhd,LMI.LSE
030530 KS,,eodhd,030530.KQ
LPKR IJ,,eodhd,LPKR.JK
KLM US,,eodhd,KLM.US
AYE US,,eodhd,AYE.US
DXPE US,,eodhd,DXPE.US
9936 JP,,yahoo,
RMP CN,,eodhd,RMP.TO
ULBI US,,eodhd,ULBI.US
8252 JP,8252.T,yahoo,8252.T
PANC US,,eodhd,PANC.US
ADPT US,ADPT,eodhd,ADPT.US
8382 JP,,yahoo,
3994 JP,3994.T,yahoo,3994.T
PMP AU,,eodhd,PMP.AU
FOXH US,,eodhd,FOXH.US
DZSI US,,eodhd,DZSI.US
WHD US,WHD,eodhd,WHD.US
8334 JP,8334.T,yahoo,8334.T
WBL SP,,eodhd,WBL.SG
ARE LN,,eodhd,ARE.LSE
NEWS US,,eodhd,NEWS.US
